variant benchmark hosts processes schedulers cores workers runtime
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1749.692330798
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1753.77596945
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1754.399896253
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1763.62629266
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1778.152928071
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1813.308484119
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1817.691393291
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1833.589653246
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1843.315892265
Ordered knapPI_11_50_1000_045 1 1 1 2 1 1874.243847226
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1184.185290544
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1195.762141235
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1199.021249922
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1203.234196662
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1205.510344764
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1206.495637945
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1206.909062835
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1208.113668646
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1211.959326793
Ordered knapPI_11_50_1000_045 1 1 2 3 2 1216.247610427
Ordered knapPI_11_50_1000_045 1 1 4 5 4 698.190252079
Ordered knapPI_11_50_1000_045 1 1 4 5 4 711.93582797
Ordered knapPI_11_50_1000_045 1 1 4 5 4 718.294117141
Ordered knapPI_11_50_1000_045 1 1 4 5 4 721.676464852
Ordered knapPI_11_50_1000_045 1 1 4 5 4 721.762188642
Ordered knapPI_11_50_1000_045 1 1 4 5 4 723.029602301
Ordered knapPI_11_50_1000_045 1 1 4 5 4 723.739872756
Ordered knapPI_11_50_1000_045 1 1 4 5 4 725.51385411
Ordered knapPI_11_50_1000_045 1 1 4 5 4 730.061607289
Ordered knapPI_11_50_1000_045 1 1 4 5 4 734.143548039
Ordered knapPI_11_50_1000_045 2 2 4 5 8 367.513658343
Ordered knapPI_11_50_1000_045 2 2 4 5 8 368.439079186
Ordered knapPI_11_50_1000_045 2 2 4 5 8 369.539697605
Ordered knapPI_11_50_1000_045 2 2 4 5 8 369.900185467
Ordered knapPI_11_50_1000_045 2 2 4 5 8 376.965483335
Ordered knapPI_11_50_1000_045 2 2 4 5 8 377.228978752
Ordered knapPI_11_50_1000_045 2 2 4 5 8 377.540914992
Ordered knapPI_11_50_1000_045 2 2 4 5 8 378.277878689
Ordered knapPI_11_50_1000_045 2 2 4 5 8 378.855875806
Ordered knapPI_11_50_1000_045 2 2 4 5 8 380.694894426
Ordered knapPI_11_50_1000_045 4 8 4 5 32 233.038755184
Ordered knapPI_11_50_1000_045 4 8 4 5 32 233.766245849
Ordered knapPI_11_50_1000_045 4 8 4 5 32 234.508695147
Ordered knapPI_11_50_1000_045 4 8 4 5 32 235.780621929
Ordered knapPI_11_50_1000_045 4 8 4 5 32 235.980419438
Ordered knapPI_11_50_1000_045 4 8 4 5 32 241.063920135
Ordered knapPI_11_50_1000_045 4 8 4 5 32 241.70002421
Ordered knapPI_11_50_1000_045 4 8 4 5 32 242.694076469
Ordered knapPI_11_50_1000_045 4 8 4 5 32 243.345924746
Ordered knapPI_11_50_1000_045 4 8 4 5 32 245.619938584
Ordered knapPI_11_50_1000_045 8 16 4 5 64 232.099050927
Ordered knapPI_11_50_1000_045 8 16 4 5 64 233.861024737
Ordered knapPI_11_50_1000_045 8 16 4 5 64 234.882503031
Ordered knapPI_11_50_1000_045 8 16 4 5 64 235.663157885
Ordered knapPI_11_50_1000_045 8 16 4 5 64 236.935600662
Ordered knapPI_11_50_1000_045 8 16 4 5 64 237.338475827
Ordered knapPI_11_50_1000_045 8 16 4 5 64 238.274520931
Ordered knapPI_11_50_1000_045 8 16 4 5 64 241.32850606
Ordered knapPI_11_50_1000_045 8 16 4 5 64 242.164616416
Ordered knapPI_11_50_1000_045 8 16 4 5 64 244.105541917
Ordered knapPI_11_50_1000_045 16 32 4 5 128 235.279194141
Ordered knapPI_11_50_1000_045 16 32 4 5 128 235.564906609
Ordered knapPI_11_50_1000_045 16 32 4 5 128 237.885994986
Ordered knapPI_11_50_1000_045 16 32 4 5 128 238.25625172
Ordered knapPI_11_50_1000_045 16 32 4 5 128 238.455061748
Ordered knapPI_11_50_1000_045 16 32 4 5 128 238.899369926
Ordered knapPI_11_50_1000_045 16 32 4 5 128 239.047363559
Ordered knapPI_11_50_1000_045 16 32 4 5 128 240.682773428
Ordered knapPI_11_50_1000_045 16 32 4 5 128 240.964268512
Ordered knapPI_11_50_1000_045 16 32 4 5 128 243.320616935
Ordered knapPI_11_50_1000_045 17 50 4 5 200 236.938142623
Ordered knapPI_11_50_1000_045 17 50 4 5 200 237.844681484
Ordered knapPI_11_50_1000_045 17 50 4 5 200 238.44535919
Ordered knapPI_11_50_1000_045 17 50 4 5 200 239.141010831
Ordered knapPI_11_50_1000_045 17 50 4 5 200 240.291738434
Ordered knapPI_11_50_1000_045 17 50 4 5 200 240.820826417
Ordered knapPI_11_50_1000_045 17 50 4 5 200 241.074820101
Ordered knapPI_11_50_1000_045 17 50 4 5 200 242.411162257
Ordered knapPI_11_50_1000_045 17 50 4 5 200 243.773498225
Ordered knapPI_11_50_1000_045 17 50 4 5 200 246.702615118
Ordered knapPI_11_50_1000_049 1 1 1 2 1 1999.830432414
Ordered knapPI_11_50_1000_049 1 1 1 2 1 1999.861915978
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2005.596578699
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2014.538196851
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2017.849862089
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2029.616195528
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2060.898863066
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2061.59374689
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2077.601966617
Ordered knapPI_11_50_1000_049 1 1 1 2 1 2104.110573961
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1184.351917424
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1199.026215115
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1250.245083047
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1292.315681722
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1295.207759688
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1297.896315721
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1301.037498675
Ordered knapPI_11_50_1000_049 1 1 2 3 2 1304.908144329
