benchmark runtime
brock400_1 981.798657323
brock400_1 984.756271637
brock400_1 985.177519046
brock400_1 985.361207731
brock400_1 985.710492384
brock400_1 986.257592776
brock400_1 987.175812205
brock400_1 987.473398316
brock400_1 995.092775273
brock400_1 997.881421771
brock400_2 719.527054472
brock400_2 720.00281829
brock400_2 720.452108473
brock400_2 720.939958638
brock400_2 721.704489324
brock400_2 728.310394229
brock400_2 728.760302019
brock400_2 729.397169387
brock400_2 730.425071022
brock400_2 738.599601117
brock400_3 571.422928954
brock400_3 573.570077417
brock400_3 574.165204364
brock400_3 574.945536787
brock400_3 575.664103596
brock400_3 579.582009152
brock400_3 581.728133418
brock400_3 581.944934896
brock400_3 582.078470022
brock400_3 582.269420998
brock400_4 273.560814565
brock400_4 274.01086539
brock400_4 274.040826701
brock400_4 274.069136873
brock400_4 274.122216854
brock400_4 274.322637559
brock400_4 276.600255245
brock400_4 277.089918455
brock400_4 277.652761875
brock400_4 279.337200594
MANN_a45 237.059105259
MANN_a45 237.152700142
MANN_a45 237.323533135
MANN_a45 237.71637546
MANN_a45 237.902215246
MANN_a45 238.219810545
MANN_a45 238.473712146
MANN_a45 238.505594881
MANN_a45 238.704072718
MANN_a45 240.936851394
p_hat1000-2 415.787008331
p_hat1000-2 419.155388124
p_hat1000-2 419.49615136
p_hat1000-2 421.762255543
p_hat1000-2 421.829413329
p_hat1000-2 422.071333552
p_hat1000-2 422.53055512
p_hat1000-2 423.459869797
p_hat1000-2 424.220760988
p_hat1000-2 427.522030006
p_hat500-3 364.10808734
p_hat500-3 366.422016734
p_hat500-3 367.416359785
p_hat500-3 367.431355771
p_hat500-3 367.6872948
p_hat500-3 368.462452908
p_hat500-3 369.025579016
p_hat500-3 369.041060165
p_hat500-3 369.162448923
p_hat500-3 372.110054375
sanr200_0 87.471536055
sanr200_0 87.578847348
sanr200_0 87.709950766
sanr200_0 87.748899246
sanr200_0 87.793740364
sanr200_0 87.799722236
sanr200_0 88.076262484
sanr200_0 88.492870492
sanr200_0 88.857522042
sanr200_0 89.144680728
sanr400_0 272.510222275
sanr400_0 272.79449768
sanr400_0 272.932439518
sanr400_0 273.200347678
sanr400_0 273.262162531
sanr400_0 273.432310167
sanr400_0 273.567390667
sanr400_0 275.635517904
sanr400_0 277.375960679
sanr400_0 281.839057153
