variant benchmark hosts processes schedulers cores workers runtime
Ordered brock400_1 1 1 1 2 1 1000.250393322
Ordered brock400_1 1 1 1 2 1 1013.306621994
Ordered brock400_1 1 1 1 2 1 1039.792007979
Ordered brock400_1 1 1 1 2 1 973.770391706
Ordered brock400_1 1 1 1 2 1 976.874900559
Ordered brock400_1 1 1 1 2 1 977.850336799
Ordered brock400_1 1 1 1 2 1 977.979956376
Ordered brock400_1 1 1 1 2 1 980.360957515
Ordered brock400_1 1 1 1 2 1 982.934723685
Ordered brock400_1 1 1 1 2 1 998.028285182
Ordered brock400_1 1 1 2 3 2 451.344066361
Ordered brock400_1 1 1 2 3 2 453.169589031
Ordered brock400_1 1 1 2 3 2 457.085762052
Ordered brock400_1 1 1 2 3 2 458.595365845
Ordered brock400_1 1 1 2 3 2 461.812800401
Ordered brock400_1 1 1 2 3 2 464.520447592
Ordered brock400_1 1 1 2 3 2 465.041625144
Ordered brock400_1 1 1 2 3 2 467.333571577
Ordered brock400_1 1 1 2 3 2 468.669264855
Ordered brock400_1 1 1 2 3 2 470.600061703
Ordered brock400_1 1 1 4 5 4 249.259483472
Ordered brock400_1 1 1 4 5 4 250.333569799
Ordered brock400_1 1 1 4 5 4 250.93928806
Ordered brock400_1 1 1 4 5 4 250.995434609
Ordered brock400_1 1 1 4 5 4 251.071855129
Ordered brock400_1 1 1 4 5 4 251.827180009
Ordered brock400_1 1 1 4 5 4 251.995105816
Ordered brock400_1 1 1 4 5 4 253.211027421
Ordered brock400_1 1 1 4 5 4 253.48367094
Ordered brock400_1 1 1 4 5 4 254.161036981
Ordered brock400_1 2 2 4 5 8 127.713556835
Ordered brock400_1 2 2 4 5 8 128.329478743
Ordered brock400_1 2 2 4 5 8 128.482567603
Ordered brock400_1 2 2 4 5 8 128.670298711
Ordered brock400_1 2 2 4 5 8 129.239450919
Ordered brock400_1 2 2 4 5 8 129.448201193
Ordered brock400_1 2 2 4 5 8 129.638626968
Ordered brock400_1 2 2 4 5 8 130.414959355
Ordered brock400_1 2 2 4 5 8 130.444094767
Ordered brock400_1 2 2 4 5 8 130.757292133
Ordered brock400_1 2 2 4 5 8 131.491918618
Ordered brock400_1 4 8 4 5 32 34.707308088
Ordered brock400_1 4 8 4 5 32 34.779922204
Ordered brock400_1 4 8 4 5 32 34.795342359
Ordered brock400_1 4 8 4 5 32 35.177068097
Ordered brock400_1 4 8 4 5 32 35.179572818
Ordered brock400_1 4 8 4 5 32 35.265019515
Ordered brock400_1 4 8 4 5 32 35.341168729
Ordered brock400_1 4 8 4 5 32 35.372664973
Ordered brock400_1 4 8 4 5 32 35.635852177
Ordered brock400_1 4 8 4 5 32 35.664697871
Ordered brock400_1 8 16 4 5 64 18.610848298
Ordered brock400_1 8 16 4 5 64 19.087133926
Ordered brock400_1 8 16 4 5 64 19.324936487
Ordered brock400_1 8 16 4 5 64 19.389836538
Ordered brock400_1 8 16 4 5 64 19.482295027
Ordered brock400_1 8 16 4 5 64 19.565106341
Ordered brock400_1 8 16 4 5 64 19.81935355
Ordered brock400_1 8 16 4 5 64 19.866599008
Ordered brock400_1 8 16 4 5 64 20.012715582
Ordered brock400_1 8 16 4 5 64 21.012531651
Ordered brock400_1 16 32 4 5 128 11.357270308
Ordered brock400_1 16 32 4 5 128 11.413498271
Ordered brock400_1 16 32 4 5 128 11.523569369
Ordered brock400_1 16 32 4 5 128 11.533984644
Ordered brock400_1 16 32 4 5 128 11.594319785
Ordered brock400_1 16 32 4 5 128 11.68732876
Ordered brock400_1 16 32 4 5 128 11.736635119
Ordered brock400_1 16 32 4 5 128 12.355843558
Ordered brock400_1 16 32 4 5 128 12.407641629
Ordered brock400_1 16 32 4 5 128 12.455551128
Ordered brock400_1 17 50 4 5 200 10.113357745
Ordered brock400_1 17 50 4 5 200 10.211558958
Ordered brock400_1 17 50 4 5 200 10.248908385
Ordered brock400_1 17 50 4 5 200 10.405230253
Ordered brock400_1 17 50 4 5 200 10.425380305
Ordered brock400_1 17 50 4 5 200 10.638686067
Ordered brock400_1 17 50 4 5 200 9.536131979
Ordered brock400_1 17 50 4 5 200 9.717479606
Ordered brock400_1 17 50 4 5 200 9.953202229
Ordered brock400_1 17 50 4 5 200 9.961410938
Ordered brock400_2 1 1 1 2 1 716.936209533
Ordered brock400_2 1 1 1 2 1 731.330782653
Ordered brock400_2 1 1 1 2 1 736.39590823
Ordered brock400_2 1 1 1 2 1 744.039172703
Ordered brock400_2 1 1 1 2 1 744.388204321
Ordered brock400_2 1 1 1 2 1 746.665068627
Ordered brock400_2 1 1 1 2 1 747.479124649
Ordered brock400_2 1 1 1 2 1 754.875139963
Ordered brock400_2 1 1 1 2 1 761.120107551
Ordered brock400_2 1 1 1 2 1 763.812610641
Ordered brock400_2 1 1 2 3 2 334.336226849
Ordered brock400_2 1 1 2 3 2 337.544475164
Ordered brock400_2 1 1 2 3 2 339.218697464
Ordered brock400_2 1 1 2 3 2 343.718314672
Ordered brock400_2 1 1 2 3 2 344.419095538
Ordered brock400_2 1 1 2 3 2 344.634883668
Ordered brock400_2 1 1 2 3 2 346.594440633
Ordered brock400_2 1 1 2 3 2 349.68291125
Ordered brock400_2 1 1 2 3 2 356.073702076
Ordered brock400_2 1 1 2 3 2 358.504954443
Ordered brock400_2 1 1 4 5 4 157.21707977
Ordered brock400_2 1 1 4 5 4 157.536416283
Ordered brock400_2 1 1 4 5 4 158.440396311
Ordered brock400_2 1 1 4 5 4 158.78128965
Ordered brock400_2 1 1 4 5 4 159.987714395
Ordered brock400_2 1 1 4 5 4 160.850596128
Ordered brock400_2 1 1 4 5 4 161.35462501
Ordered brock400_2 1 1 4 5 4 161.944056324
Ordered brock400_2 1 1 4 5 4 162.829985988
Ordered brock400_2 1 1 4 5 4 162.910329848
Ordered brock400_2 2 2 4 5 8 79.163902321
Ordered brock400_2 2 2 4 5 8 79.326511852
Ordered brock400_2 2 2 4 5 8 79.474521228
Ordered brock400_2 2 2 4 5 8 79.90288906
Ordered brock400_2 2 2 4 5 8 79.94163338
Ordered brock400_2 2 2 4 5 8 79.996636311
Ordered brock400_2 2 2 4 5 8 80.373849433
Ordered brock400_2 2 2 4 5 8 80.395425019
Ordered brock400_2 2 2 4 5 8 80.568067152
Ordered brock400_2 2 2 4 5 8 80.71217547
Ordered brock400_2 4 8 4 5 32 21.020191291
Ordered brock400_2 4 8 4 5 32 21.27704538
Ordered brock400_2 4 8 4 5 32 21.34714138
Ordered brock400_2 4 8 4 5 32 21.667745427
Ordered brock400_2 4 8 4 5 32 21.678337402
Ordered brock400_2 4 8 4 5 32 21.832402688
Ordered brock400_2 4 8 4 5 32 21.925746154
Ordered brock400_2 4 8 4 5 32 22.191988008
Ordered brock400_2 4 8 4 5 32 22.477625099
Ordered brock400_2 4 8 4 5 32 22.633250611
Ordered brock400_2 8 16 4 5 64 11.926349295
Ordered brock400_2 8 16 4 5 64 12.106533429
Ordered brock400_2 8 16 4 5 64 12.278803288
Ordered brock400_2 8 16 4 5 64 12.546416205
Ordered brock400_2 8 16 4 5 64 12.551275675
Ordered brock400_2 8 16 4 5 64 12.688307795
Ordered brock400_2 8 16 4 5 64 12.771800004
Ordered brock400_2 8 16 4 5 64 12.906904999
Ordered brock400_2 8 16 4 5 64 12.982591582
Ordered brock400_2 8 16 4 5 64 15.785410025
Ordered brock400_2 16 32 4 5 128 7.140889597
Ordered brock400_2 16 32 4 5 128 7.362104371
Ordered brock400_2 16 32 4 5 128 7.463768631
Ordered brock400_2 16 32 4 5 128 7.547970322
Ordered brock400_2 16 32 4 5 128 7.831376135
Ordered brock400_2 16 32 4 5 128 7.859644981
Ordered brock400_2 16 32 4 5 128 7.943540292
Ordered brock400_2 16 32 4 5 128 7.978370024
Ordered brock400_2 16 32 4 5 128 8.035783707
Ordered brock400_2 16 32 4 5 128 8.150272483
Ordered brock400_2 17 50 4 5 200 6.557257654
Ordered brock400_2 17 50 4 5 200 6.62890355
Ordered brock400_2 17 50 4 5 200 6.723383806
Ordered brock400_2 17 50 4 5 200 6.838830357
Ordered brock400_2 17 50 4 5 200 6.917599148
Ordered brock400_2 17 50 4 5 200 6.978285633
Ordered brock400_2 17 50 4 5 200 7.052902818
Ordered brock400_2 17 50 4 5 200 7.205021241
Ordered brock400_2 17 50 4 5 200 7.57939392
Ordered brock400_2 17 50 4 5 200 8.797420182
Ordered brock400_3 1 1 1 2 1 569.494072327
Ordered brock400_3 1 1 1 2 1 569.75965901
Ordered brock400_3 1 1 1 2 1 573.15351343
Ordered brock400_3 1 1 1 2 1 573.163898265
Ordered brock400_3 1 1 1 2 1 573.78035145
Ordered brock400_3 1 1 1 2 1 577.579925871
Ordered brock400_3 1 1 1 2 1 581.296815695
Ordered brock400_3 1 1 1 2 1 601.730247024
Ordered brock400_3 1 1 1 2 1 604.85240555
Ordered brock400_3 1 1 1 2 1 610.548816847
Ordered brock400_3 1 1 2 3 2 237.071535112
Ordered brock400_3 1 1 2 3 2 238.488384744
Ordered brock400_3 1 1 2 3 2 239.160501424
Ordered brock400_3 1 1 2 3 2 239.612740116
Ordered brock400_3 1 1 2 3 2 239.874431802
Ordered brock400_3 1 1 2 3 2 240.597817735
Ordered brock400_3 1 1 2 3 2 242.866535723
Ordered brock400_3 1 1 2 3 2 243.055871539
Ordered brock400_3 1 1 2 3 2 243.151618584
Ordered brock400_3 1 1 2 3 2 248.572078728
Ordered brock400_3 1 1 4 5 4 107.710407954
Ordered brock400_3 1 1 4 5 4 108.208326454
Ordered brock400_3 1 1 4 5 4 108.25017115
Ordered brock400_3 1 1 4 5 4 108.254602599
Ordered brock400_3 1 1 4 5 4 108.299614873
Ordered brock400_3 1 1 4 5 4 109.211097244
Ordered brock400_3 1 1 4 5 4 109.226824606
Ordered brock400_3 1 1 4 5 4 109.312179229
Ordered brock400_3 1 1 4 5 4 111.350179477
Ordered brock400_3 1 1 4 5 4 111.652804749
Ordered brock400_3 2 2 4 5 8 52.248635586
Ordered brock400_3 2 2 4 5 8 52.455007553
Ordered brock400_3 2 2 4 5 8 52.888187977
Ordered brock400_3 2 2 4 5 8 53.026906177
Ordered brock400_3 2 2 4 5 8 53.09412191
Ordered brock400_3 2 2 4 5 8 53.119288278
Ordered brock400_3 2 2 4 5 8 53.226717272
Ordered brock400_3 2 2 4 5 8 53.480843145
Ordered brock400_3 2 2 4 5 8 53.48716316
Ordered brock400_3 2 2 4 5 8 54.105260693
Ordered brock400_3 4 8 4 5 32 14.807605858
Ordered brock400_3 4 8 4 5 32 14.978708135
Ordered brock400_3 4 8 4 5 32 15.102830811
Ordered brock400_3 4 8 4 5 32 15.352852973
Ordered brock400_3 4 8 4 5 32 15.363382444
Ordered brock400_3 4 8 4 5 32 15.415476298
Ordered brock400_3 4 8 4 5 32 15.557433036
