benchmark variant workers runtimeM speedup
knapPI_11_50_1000_045 Ordered 1 1798.1796687379 1
knapPI_11_50_1000_045 Ordered 2 1203.7438529773 1.49382251405923
knapPI_11_50_1000_045 Ordered 4 720.8347335179 2.4945796659412
knapPI_11_50_1000_045 Ordered 8 374.4956646601 4.80160343209838
knapPI_11_50_1000_045 Ordered 32 238.7498621691 7.5316469396087
knapPI_11_50_1000_045 Ordered 64 237.6652998393 7.56601687311424
knapPI_11_50_1000_045 Ordered 128 238.8355801564 7.52894383475181
knapPI_11_50_1000_045 Ordered 200 240.744385468 7.46924861920369
knapPI_11_50_1000_045 Unordered 1 13.7384014092 1
knapPI_11_50_1000_045 Unordered 2 54.4037571011 0.252526702956738
knapPI_11_50_1000_045 Unordered 4 77.6094511082 0.177019695578654
knapPI_11_50_1000_045 Unordered 8 179.1607165182 0.0766819963449096
knapPI_11_50_1000_045 Unordered 32 153.5421138828 0.0894764378435394
knapPI_11_50_1000_045 Unordered 64 133.5716874115 0.10285414278608
knapPI_11_50_1000_045 Unordered 128 106.7179222999 0.128735652954264
knapPI_11_50_1000_045 Unordered 200 151.8958590387 0.0904461879089129
knapPI_11_50_1000_049 Ordered 1 2037.1498332093 1
knapPI_11_50_1000_049 Ordered 2 1296.1290970817 1.57171830938449
knapPI_11_50_1000_049 Ordered 4 885.5355400304 2.3004721336643
knapPI_11_50_1000_049 Ordered 8 622.1206561033 3.27452530827242
knapPI_11_50_1000_049 Ordered 32 521.4512399823 3.90669285450055
knapPI_11_50_1000_049 Ordered 64 518.3285199083 3.93022910174748
knapPI_11_50_1000_049 Ordered 128 520.7243359896 3.91214639380708
knapPI_11_50_1000_049 Ordered 200 530.6344158626 3.83908350516185
knapPI_11_50_1000_049 Unordered 1 65.1272875687 1
knapPI_11_50_1000_049 Unordered 2 60.6551511821 1.07373052905554
knapPI_11_50_1000_049 Unordered 4 70.6248998994 0.922157591181992
knapPI_11_50_1000_049 Unordered 8 131.9575607307 0.493547222365017
knapPI_11_50_1000_049 Unordered 32 297.8521570078 0.218656424123175
knapPI_11_50_1000_049 Unordered 64 141.1239766008 0.461489883841119
knapPI_11_50_1000_049 Unordered 128 119.7883275909 0.543686424867055
knapPI_11_50_1000_049 Unordered 200 269.5413710851 0.241622602521147
knapPI_12_20_1000_059 Ordered 1 1450.0858589579 1
knapPI_12_20_1000_059 Ordered 2 920.180643623 1.57587085645327
knapPI_12_20_1000_059 Ordered 4 539.836445911 2.68615776119156
knapPI_12_20_1000_059 Ordered 8 272.8315375563 5.31494955438818
knapPI_12_20_1000_059 Ordered 32 121.857151788 11.8998830817963
knapPI_12_20_1000_059 Ordered 64 120.7817200276 12.005838786089
knapPI_12_20_1000_059 Ordered 128 118.6256712028 12.2240476640074
knapPI_12_20_1000_059 Ordered 200 121.9909417492 11.8868322366026
knapPI_12_20_1000_059 Unordered 1 503.5922400067 1
knapPI_12_20_1000_059 Unordered 2 363.8069630408 1.38422925113235
knapPI_12_20_1000_059 Unordered 4 272.3793454579 1.84886353684456
knapPI_12_20_1000_059 Unordered 8 136.2712963745 3.69551221280475
knapPI_12_20_1000_059 Unordered 32 117.7113393546 4.27819649974121
knapPI_12_20_1000_059 Unordered 64 123.0312406904 4.09320622291339
knapPI_12_20_1000_059 Unordered 128 117.9499406193 4.26954212407885
knapPI_12_20_1000_059 Unordered 200 120.8596352494 4.16675293589553
knapPI_12_50_1000_018 Ordered 1 1854.6617887144 1
knapPI_12_50_1000_018 Ordered 2 1007.056481071 1.84166610669342
knapPI_12_50_1000_018 Ordered 4 551.8601003639 3.36074629691732
knapPI_12_50_1000_018 Ordered 8 284.4357508734 6.52049463901566
knapPI_12_50_1000_018 Ordered 32 76.1494976278 24.3555354465965
knapPI_12_50_1000_018 Ordered 64 46.4227165711 39.9515996844743
knapPI_12_50_1000_018 Ordered 128 34.1761809697 54.2676722820116
knapPI_12_50_1000_018 Ordered 200 31.8720465462 58.1908596934929
knapPI_12_50_1000_018 Unordered 1 1329.6151032035 1
knapPI_12_50_1000_018 Unordered 2 232.192125777 5.72635742385372
knapPI_12_50_1000_018 Unordered 4 145.6880644953 9.12645183261663
knapPI_12_50_1000_018 Unordered 8 62.6780816083 21.2133981941692
knapPI_12_50_1000_018 Unordered 32 18.3246798113 72.5587086320377
knapPI_12_50_1000_018 Unordered 64 24.3655290262 54.5695150626025
knapPI_12_50_1000_018 Unordered 128 30.2917835757 43.893589160267
knapPI_12_50_1000_018 Unordered 200 17.0904444789 77.7987433179432
knapPI_13_20_1000_057 Ordered 1 985.6625024023 1
knapPI_13_20_1000_057 Ordered 2 554.5559976606 1.77739039260296
knapPI_13_20_1000_057 Ordered 4 318.5394926092 3.09431805246064
knapPI_13_20_1000_057 Ordered 8 169.1010486143 5.82883731638165
knapPI_13_20_1000_057 Ordered 32 68.3898998412 14.4123986830071
knapPI_13_20_1000_057 Ordered 64 55.635547464 17.7164159845842
knapPI_13_20_1000_057 Ordered 128 50.4298278614 19.5452283737963
knapPI_13_20_1000_057 Ordered 200 51.0341140438 19.3137966803216
knapPI_13_20_1000_057 Unordered 1 409.9770521739 1
knapPI_13_20_1000_057 Unordered 2 277.5847684329 1.47694361793847
knapPI_13_20_1000_057 Unordered 4 178.5844392221 2.29570422798161
knapPI_13_20_1000_057 Unordered 8 89.3317315879 4.58937764763346
knapPI_13_20_1000_057 Unordered 32 52.0202393471 7.88110661003245
knapPI_13_20_1000_057 Unordered 64 50.6320158171 8.09719000039177
knapPI_13_20_1000_057 Unordered 128 57.1877609851 7.16896491682403
knapPI_13_20_1000_057 Unordered 200 53.5068061441 7.66214771013961
knapPI_13_50_1000_006 Ordered 1 1128.4754810018 1
knapPI_13_50_1000_006 Ordered 2 602.5754402979 1.87275385874324
knapPI_13_50_1000_006 Ordered 4 326.4708851804 3.45658841944889
knapPI_13_50_1000_006 Ordered 8 170.5998843287 6.61474939119848
knapPI_13_50_1000_006 Ordered 32 49.3660390595 22.8593482989727
knapPI_13_50_1000_006 Ordered 64 28.0429035725 40.24103560048
knapPI_13_50_1000_006 Ordered 128 18.4539885842 61.1507629287244
knapPI_13_50_1000_006 Ordered 200 16.2505963065 69.4420967525005
knapPI_13_50_1000_006 Unordered 1 455.5508073327 1
knapPI_13_50_1000_006 Unordered 2 237.1052332327 1.92130220460218
knapPI_13_50_1000_006 Unordered 4 130.4443014572 3.49230132894821
knapPI_13_50_1000_006 Unordered 8 66.7895332231 6.82069158667427
knapPI_13_50_1000_006 Unordered 32 20.0717928544 22.6960695856742
knapPI_13_50_1000_006 Unordered 64 14.0647140495 32.3896245404929
knapPI_13_50_1000_006 Unordered 128 12.1844378765 37.3879215397631
knapPI_13_50_1000_006 Unordered 200 11.7305784148 38.8344710059608
knapPI_14_100_1000_033 Ordered 1 2179.9546286727 1
knapPI_14_100_1000_033 Ordered 2 1927.9849016433 1.13069071589442
knapPI_14_100_1000_033 Ordered 4 1269.7928685661 1.71677970686226
knapPI_14_100_1000_033 Ordered 8 1246.7748936559 1.74847491697595
knapPI_14_100_1000_033 Ordered 32 1257.047242732 1.73418671515869
knapPI_14_100_1000_033 Ordered 64 1250.8766810078 1.7427414402804
knapPI_14_100_1000_033 Ordered 128 1264.6988406169 1.72369465256199
knapPI_14_100_1000_033 Ordered 200 1271.5741792122 1.7143747209646
knapPI_14_100_1000_033 Unordered 1 NA NA
knapPI_14_100_1000_033 Unordered 2 NA NA
knapPI_14_100_1000_033 Unordered 4 NA NA
knapPI_14_100_1000_033 Unordered 8 92.9686535145 NA
knapPI_14_100_1000_033 Unordered 32 592.7681876774 NA
knapPI_14_100_1000_033 Unordered 64 128.0969812343 NA
knapPI_14_100_1000_033 Unordered 128 229.4800412246 NA
knapPI_14_100_1000_033 Unordered 200 184.704234391 NA
knapPI_14_50_1000_021 Ordered 1 2872.0376516033 1
knapPI_14_50_1000_021 Ordered 2 2012.0754788742 1.42740055318912
knapPI_14_50_1000_021 Ordered 4 1351.6390451588 2.12485549443851
knapPI_14_50_1000_021 Ordered 8 955.742028035 3.00503437889845
knapPI_14_50_1000_021 Ordered 32 772.5204750701 3.71774955394248
knapPI_14_50_1000_021 Ordered 64 777.7627100108 3.69269137570689
knapPI_14_50_1000_021 Ordered 128 777.6198549975 3.69336975277275
knapPI_14_50_1000_021 Ordered 200 782.7734678346 3.66905339746411
knapPI_14_50_1000_021 Unordered 1 9.3878277016 1
knapPI_14_50_1000_021 Unordered 2 20.5232120586 0.457424874566169
knapPI_14_50_1000_021 Unordered 4 39.7188058891 0.236357249203615
knapPI_14_50_1000_021 Unordered 8 55.4660250344 0.169253659258576
knapPI_14_50_1000_021 Unordered 32 346.5385602631 0.0270902830971322
knapPI_14_50_1000_021 Unordered 64 249.0586874661 0.037693235265595
knapPI_14_50_1000_021 Unordered 128 77.7884499822 0.12068408232518
knapPI_14_50_1000_021 Unordered 200 257.0369075849 0.0365232673774647
knapPI_15_100_1000_059 Ordered 1 1652.0258398906 1
knapPI_15_100_1000_059 Ordered 2 1341.9973865948 1.23102016173256
