benchmark variant workers runtimeM speedup
brock400_1 Ordered 1 992.1148575117 1
brock400_1 Ordered 2 461.8172554561 2.14828451252188
brock400_1 Ordered 4 251.7277652236 3.94122140889164
brock400_1 Ordered 8 129.511858713182 7.66041710287586
brock400_1 Ordered 32 35.1918616831 28.1915991386195
brock400_1 Ordered 64 19.6171356408 50.5738898724993
brock400_1 Ordered 128 11.8065642571 84.0307845625015
brock400_1 Ordered 200 10.1211346465 98.0240745887897
brock400_1 Unordered 1 1424.1450929868 1
brock400_1 Unordered 2 754.8735473685 1.88660087235987
brock400_1 Unordered 4 371.4724917002 3.83378345585861
brock400_1 Unordered 8 221.3445625058 6.43406405318623
brock400_1 Unordered 32 54.5452695805 26.1094152424161
brock400_1 Unordered 64 28.2540240882 50.4050357053946
brock400_1 Unordered 128 15.0674962672 94.5177000698504
brock400_1 Unordered 200 13.610921259 104.632527503978
brock400_2 Ordered 1 744.7042328871 1
brock400_2 Ordered 2 345.4727701757 2.15560905859052
brock400_2 Ordered 4 160.1852489707 4.64901879338038
brock400_2 Ordered 8 79.9855611226 9.31048332267914
brock400_2 Ordered 32 21.805147344 34.1526806097009
brock400_2 Ordered 64 12.8544392297 57.9336227415095
brock400_2 Ordered 128 7.7313720543 96.3223898237977
brock400_2 Ordered 200 7.1278998309 104.47737069182
brock400_2 Unordered 1 891.0636138102 1
brock400_2 Unordered 2 486.8457142638 1.83027926035593
brock400_2 Unordered 4 263.1625241504 3.38598216705411
brock400_2 Unordered 8 117.0251626849 7.614290750524
brock400_2 Unordered 32 38.579060114 23.097079378739
brock400_2 Unordered 64 18.3867262322 48.4623310619436
brock400_2 Unordered 128 11.3948066193 78.1990992546514
brock400_2 Unordered 200 9.1067083564 97.8469474301304
brock400_3 Ordered 1 583.5359705469 1
brock400_3 Ordered 2 241.2451515507 2.41885056257499
brock400_3 Ordered 4 109.1476208335 5.3463004148946
brock400_3 Ordered 8 53.1132131751 10.986644107242
brock400_3 Ordered 32 15.4386788695 37.7970145942804
brock400_3 Ordered 64 8.8571634654 65.8829401564564
brock400_3 Ordered 128 5.9408365857 98.2245449995226
brock400_3 Ordered 200 5.623706251 103.763593705332
brock400_3 Unordered 1 774.7174568632 1
brock400_3 Unordered 2 429.0619909482 1.80560728567712
brock400_3 Unordered 4 217.5327523399 3.56138304935657
brock400_3 Unordered 8 108.1341070493 7.16441350470481
brock400_3 Unordered 32 28.7429184166 26.9533331874809
brock400_3 Unordered 64 16.1135827428 48.0785353095584
brock400_3 Unordered 128 9.9362590081 77.9687260800723
brock400_3 Unordered 200 7.5780235563 102.232125712929
brock400_4 Ordered 1 283.1267043424 1
brock400_4 Ordered 2 79.4371088665 3.56416174231889
brock400_4 Ordered 4 35.5748199319 7.9586264915573
brock400_4 Ordered 8 18.6193282438 15.2060643990568
brock400_4 Ordered 32 6.4773144129 43.7105081356765
brock400_4 Ordered 64 4.2872419915 66.0393569814194
brock400_4 Ordered 128 3.7315012919 75.8747437544737
brock400_4 Ordered 200 4.3474799054 65.1243273121812
brock400_4 Unordered 1 245.9316143135 1
brock400_4 Unordered 2 141.4027226079 1.73922828201442
brock400_4 Unordered 4 88.6165081045 2.77523476803541
brock400_4 Unordered 8 51.058484393 4.81666499186601
brock400_4 Unordered 32 10.5692213905 23.2686595565641
brock400_4 Unordered 64 7.6375468282 32.2003412673622
brock400_4 Unordered 128 4.6542974517 52.8396856594699
brock400_4 Unordered 200 4.0441645155 60.8114762322161
brock800_1 Ordered 1 NA NA
brock800_1 Ordered 2 NA NA
brock800_1 Ordered 4 3309.4037246666 NA
brock800_1 Ordered 8 1669.7025207927 NA
brock800_1 Ordered 32 432.4017465926 NA
brock800_1 Ordered 64 220.743529748 NA
brock800_1 Ordered 128 116.6826341311 NA
brock800_1 Ordered 200 92.1010604467 NA
brock800_1 Unordered 1 NA NA
brock800_1 Unordered 2 NA NA
brock800_1 Unordered 4 NA NA
brock800_1 Unordered 8 2779.4616569003 NA
brock800_1 Unordered 32 734.7121820183 NA
brock800_1 Unordered 64 436.7251502632 NA
brock800_1 Unordered 128 280.4747650222 NA
brock800_1 Unordered 200 235.7859625048 NA
brock800_2 Ordered 1 NA NA
brock800_2 Ordered 2 NA NA
brock800_2 Ordered 4 3267.7043826987 NA
brock800_2 Ordered 8 1624.1421572048 NA
brock800_2 Ordered 32 417.6622081199 NA
brock800_2 Ordered 64 213.6442836585 NA
brock800_2 Ordered 128 113.5649780921 NA
brock800_2 Ordered 200 90.5367490246 NA
brock800_2 Unordered 1 NA NA
brock800_2 Unordered 2 NA NA
brock800_2 Unordered 4 NA NA
brock800_2 Unordered 8 3290.5051809852 NA
