benchmark variant workers runtimeM speedup
burma14 Ordered 1 0.176700716555556 1
burma14 Ordered 2 0.1138454852 1.55211000458326
burma14 Ordered 4 0.0827432248 2.1355309390305
burma14 Ordered 8 0.1184944679 1.49121490384409
burma14 Ordered 32 0.1659359258 1.0648731774247
burma14 Ordered 64 0.2253499871 0.784116825696306
burma14 Ordered 128 0.2709714079 0.652100964913485
burma14 Ordered 200 0.1417939103 1.24617986894995
burma14 Unordered 1 0.244007824 1
burma14 Unordered 2 0.1531951429 1.59279086386753
burma14 Unordered 4 0.1005619596 2.42644261279889
burma14 Unordered 8 0.1747017549 1.39671077797513
burma14 Unordered 32 0.1080968254 2.2573079560577
burma14 Unordered 64 0.2021919568 1.20681271333341
burma14 Unordered 128 0.22332298 1.09262299831392
burma14 Unordered 200 0.3059862578 0.797447002209783
rand_34_22137 Ordered 1 2502.2290967308 1
rand_34_22137 Ordered 2 1944.6192529242 1.28674499800827
rand_34_22137 Ordered 4 1131.1381339091 2.21213397525848
rand_34_22137 Ordered 8 541.3616749649 4.62210239927501
rand_34_22137 Ordered 32 223.198479086 11.2107802301228
rand_34_22137 Ordered 64 179.7572882699 13.9200425240827
rand_34_22137 Ordered 128 168.8715773749 14.8173489916292
rand_34_22137 Ordered 200 156.5573182658 15.9828305980725
rand_34_22137 Unordered 1 NA NA
rand_34_22137 Unordered 2 1591.9885144277 NA
rand_34_22137 Unordered 4 883.6937769248 NA
rand_34_22137 Unordered 8 523.8008580308 NA
rand_34_22137 Unordered 32 245.4357883432 NA
rand_34_22137 Unordered 64 158.1295644815 NA
rand_34_22137 Unordered 128 120.4242139079 NA
rand_34_22137 Unordered 200 108.2445361944 NA
rand_35_52156 Ordered 1 3305.0747389903 1
rand_35_52156 Ordered 2 2090.003627255 1.58137272868333
rand_35_52156 Ordered 4 867.1629229192 3.8113653751064
rand_35_52156 Ordered 8 402.4320914664 8.21275144073904
rand_35_52156 Ordered 32 148.1790574324 22.3046009082497
rand_35_52156 Ordered 64 92.3281043214 35.7970605297508
rand_35_52156 Ordered 128 64.8329747344 50.9782985051995
