variant benchmark hosts processes schedulers cores workers runtime
Ordered burma14 1 1 1 2 1 0.172910148
Ordered burma14 1 1 1 2 1 0.174106667
Ordered burma14 1 1 1 2 1 0.174468536
Ordered burma14 1 1 1 2 1 0.174868308
Ordered burma14 1 1 1 2 1 0.17669226
Ordered burma14 1 1 1 2 1 0.178658918
Ordered burma14 1 1 1 2 1 0.179160339
Ordered burma14 1 1 1 2 1 0.179610191
Ordered burma14 1 1 1 2 1 0.179831082
Ordered burma14 1 1 2 3 2 0.106414877
Ordered burma14 1 1 2 3 2 0.109467485
Ordered burma14 1 1 2 3 2 0.109545841
Ordered burma14 1 1 2 3 2 0.110230192
Ordered burma14 1 1 2 3 2 0.11098084
Ordered burma14 1 1 2 3 2 0.111474406
Ordered burma14 1 1 2 3 2 0.111723743
Ordered burma14 1 1 2 3 2 0.114570873
Ordered burma14 1 1 2 3 2 0.126940726
Ordered burma14 1 1 2 3 2 0.127105869
Ordered burma14 1 1 4 5 4 7.6995781e-2
Ordered burma14 1 1 4 5 4 7.7406991e-2
Ordered burma14 1 1 4 5 4 7.8465642e-2
Ordered burma14 1 1 4 5 4 7.850683e-2
Ordered burma14 1 1 4 5 4 8.1120574e-2
Ordered burma14 1 1 4 5 4 8.1352535e-2
Ordered burma14 1 1 4 5 4 8.6463356e-2
Ordered burma14 1 1 4 5 4 8.7042159e-2
Ordered burma14 1 1 4 5 4 8.8663046e-2
Ordered burma14 1 1 4 5 4 9.1415334e-2
Ordered burma14 2 2 4 5 8 0.46866993
Ordered burma14 2 2 4 5 8 6.7959313e-2
Ordered burma14 2 2 4 5 8 7.2196635e-2
Ordered burma14 2 2 4 5 8 8.0216215e-2
Ordered burma14 2 2 4 5 8 8.0667212e-2
Ordered burma14 2 2 4 5 8 8.0745616e-2
Ordered burma14 2 2 4 5 8 8.1431867e-2
Ordered burma14 2 2 4 5 8 8.1948414e-2
Ordered burma14 2 2 4 5 8 8.3150783e-2
Ordered burma14 2 2 4 5 8 8.7958694e-2
Ordered burma14 4 8 4 5 32 0.476680163
Ordered burma14 4 8 4 5 32 0.479714122
Ordered burma14 4 8 4 5 32 7.9911796e-2
Ordered burma14 4 8 4 5 32 8.2931289e-2
Ordered burma14 4 8 4 5 32 8.3806537e-2
Ordered burma14 4 8 4 5 32 8.392396e-2
