instance hosts processes threads workersPerProc totalWorkers runtime maxclique
brock400_1 1 1 2 1 1 249.505 27
brock400_1 1 1 2 1 1 258.256 27
brock400_1 1 1 5 4 4 213.462 27
brock800_3 1 1 5 4 4 2189.68 25
brock800_3 1 1 5 4 4 2080.74 25
brock800_3 1 1 5 4 4 2300.09 25
brock800_3 1 1 5 4 4 2264.09 25
brock800_3 1 1 5 4 4 2292.18 25
brock800_4 1 1 2 1 1 1039.95 26
brock800_4 1 1 2 1 1 1026 26
brock800_4 1 1 2 1 1 1042.32 26
brock800_4 1 1 2 1 1 1024.42 26
brock800_4 1 1 2 1 1 1028.04 26
brock400_1 1 1 5 4 4 228.925 27
brock800_4 1 1 3 2 2 754.49 26
brock800_4 1 1 3 2 2 802.441 26
brock800_4 1 1 3 2 2 821.011 26
brock800_4 1 1 3 2 2 802.986 26
brock800_4 1 1 3 2 2 788.886 26
brock800_4 1 1 5 4 4 666.945 26
brock800_4 1 1 5 4 4 707.447 26
brock800_4 1 1 5 4 4 638.025 26
brock800_4 1 1 5 4 4 648.094 26
brock800_4 1 1 5 4 4 645.144 26
brock400_1 1 1 5 4 4 219.801 27
p_hat500-3 1 1 2 1 1 115.798 50
p_hat500-3 1 1 2 1 1 115.447 50
p_hat500-3 1 1 2 1 1 116.129 50
p_hat500-3 1 1 2 1 1 117.042 50
p_hat500-3 1 1 2 1 1 116.982 50
p_hat500-3 1 1 3 2 2 69.859 50
p_hat500-3 1 1 3 2 2 70.418 50
p_hat500-3 1 1 3 2 2 72.497 50
p_hat500-3 1 1 3 2 2 74.375 50
p_hat500-3 1 1 3 2 2 70.259 50
brock400_1 1 1 5 4 4 239.56 27
p_hat500-3 1 1 5 4 4 91.38 50
p_hat500-3 1 1 5 4 4 92.778 50
p_hat500-3 1 1 5 4 4 96.962 50
p_hat500-3 1 1 5 4 4 94.805 50
p_hat500-3 1 1 5 4 4 95.864 50
p_hat700-3 1 1 2 1 1 1102.08 62
p_hat700-3 1 1 2 1 1 1102.28 62
p_hat700-3 1 1 2 1 1 1099.7 62
p_hat700-3 1 1 2 1 1 1101.77 62
p_hat700-3 1 1 2 1 1 1107.99 62
brock400_1 1 1 5 4 4 213.533 27
p_hat700-3 1 1 3 2 2 640.927 62
p_hat700-3 1 1 3 2 2 631.653 62
p_hat700-3 1 1 3 2 2 626.341 62
p_hat700-3 1 1 3 2 2 632.328 62
p_hat700-3 1 1 3 2 2 655.101 62
p_hat700-3 1 1 5 4 4 852.589 62
p_hat700-3 1 1 5 4 4 883.62 62
