instance hosts processes schedulers cores totalWorkers runtime
brock400_1 1 1 1 2 1 1379.735504914
brock400_1 1 1 1 2 1 1381.153288445
brock400_1 1 1 1 2 1 1385.994331769
brock400_1 1 1 1 2 1 1390.002441966
brock400_1 1 1 1 2 1 1417.785877074
brock400_1 1 1 1 2 1 1425.634803837
brock400_1 1 1 1 2 1 1435.37495283
brock400_1 1 1 1 2 1 1474.49935823
brock400_1 1 1 1 2 1 1475.097342381
brock400_1 1 1 1 2 1 1476.173028422
brock400_1 1 1 2 3 2 691.42838938
brock400_1 1 1 2 3 2 699.794708518
brock400_1 1 1 2 3 2 746.419806464
brock400_1 1 1 2 3 2 761.336170191
brock400_1 1 1 2 3 2 764.558606256
brock400_1 1 1 2 3 2 765.380640047
brock400_1 1 1 2 3 2 772.475020873
brock400_1 1 1 2 3 2 779.842739348
brock400_1 1 1 2 3 2 781.478337334
brock400_1 1 1 2 3 2 786.021055274
brock400_1 1 1 4 5 4 201.571707442
brock400_1 1 1 4 5 4 211.476310105
brock400_1 1 1 4 5 4 369.694689694
brock400_1 1 1 4 5 4 393.853437195
brock400_1 1 1 4 5 4 403.345717582
brock400_1 1 1 4 5 4 416.570112977
brock400_1 1 1 4 5 4 417.167884174
brock400_1 1 1 4 5 4 417.957471592
brock400_1 1 1 4 5 4 438.431383534
brock400_1 1 1 4 5 4 444.656202707
brock400_1 2 2 4 5 8 216.314841459
brock400_1 2 2 4 5 8 216.616315188
brock400_1 2 2 4 5 8 217.964483494
brock400_1 2 2 4 5 8 219.282593039
brock400_1 2 2 4 5 8 219.897836296
brock400_1 2 2 4 5 8 221.696514841
brock400_1 2 2 4 5 8 222.420118393
brock400_1 2 2 4 5 8 225.812558443
brock400_1 2 2 4 5 8 226.429678157
brock400_1 2 2 4 5 8 227.010685748
brock400_1 4 8 4 5 32 27.676197571
brock400_1 4 8 4 5 32 51.35252414
brock400_1 4 8 4 5 32 54.303137986
brock400_1 4 8 4 5 32 57.52197983
brock400_1 4 8 4 5 32 58.288579867
brock400_1 4 8 4 5 32 58.75984066
brock400_1 4 8 4 5 32 59.0051102
brock400_1 4 8 4 5 32 59.208041027
brock400_1 4 8 4 5 32 59.649619169
brock400_1 4 8 4 5 32 59.687665355
brock400_1 8 16 4 5 64 15.260033388
brock400_1 8 16 4 5 64 27.392421973
brock400_1 8 16 4 5 64 27.760105772
brock400_1 8 16 4 5 64 29.129861929
brock400_1 8 16 4 5 64 29.381495109
brock400_1 8 16 4 5 64 30.193360812
brock400_1 8 16 4 5 64 30.587378933
brock400_1 8 16 4 5 64 30.742488499
brock400_1 8 16 4 5 64 30.995020681
brock400_1 8 16 4 5 64 31.098073786
brock400_1 16 32 4 5 128 13.921240042
brock400_1 16 32 4 5 128 14.965698423
brock400_1 16 32 4 5 128 15.007970723
brock400_1 16 32 4 5 128 15.507950801
brock400_1 16 32 4 5 128 15.577437341
brock400_1 16 32 4 5 128 15.842529306
brock400_1 16 32 4 5 128 16.267373414
brock400_1 16 32 4 5 128 17.154042534
brock400_1 16 32 4 5 128 17.413773892
brock400_1 16 32 4 5 128 9.016946196
brock400_1 17 50 4 5 200 12.877592049
brock400_1 17 50 4 5 200 12.906317805
brock400_1 17 50 4 5 200 13.139239477
brock400_1 17 50 4 5 200 13.681839966
brock400_1 17 50 4 5 200 13.692190428
brock400_1 17 50 4 5 200 13.695977462
brock400_1 17 50 4 5 200 13.842474496
brock400_1 17 50 4 5 200 14.053876455
brock400_1 17 50 4 5 200 14.100806934
brock400_1 17 50 4 5 200 14.118897518
brock400_2 1 1 1 2 1 871.225336021
brock400_2 1 1 1 2 1 872.900482059
brock400_2 1 1 1 2 1 873.945811681
brock400_2 1 1 1 2 1 877.873367312
brock400_2 1 1 1 2 1 878.233625665
brock400_2 1 1 1 2 1 881.536133587
brock400_2 1 1 1 2 1 901.810114145
brock400_2 1 1 1 2 1 911.209893132
brock400_2 1 1 1 2 1 912.113728637
brock400_2 1 1 1 2 1 929.787645863
brock400_2 1 1 2 3 2 469.320178198
brock400_2 1 1 2 3 2 472.032212724
brock400_2 1 1 2 3 2 477.801887086
brock400_2 1 1 2 3 2 480.00071209
brock400_2 1 1 2 3 2 483.437902986
brock400_2 1 1 2 3 2 491.601918611
brock400_2 1 1 2 3 2 492.691128733
brock400_2 1 1 2 3 2 495.140041485
brock400_2 1 1 2 3 2 496.89712643
brock400_2 1 1 2 3 2 509.534034295
brock400_2 1 1 4 5 4 136.82398522
brock400_2 1 1 4 5 4 262.739041529
brock400_2 1 1 4 5 4 268.571783869
brock400_2 1 1 4 5 4 273.651715524
brock400_2 1 1 4 5 4 274.382504538
brock400_2 1 1 4 5 4 277.268691856
brock400_2 1 1 4 5 4 277.526213178
brock400_2 1 1 4 5 4 279.598657584
brock400_2 1 1 4 5 4 287.633594655
brock400_2 1 1 4 5 4 293.429053551
brock400_2 2 2 4 5 8 137.196852326
brock400_2 2 2 4 5 8 138.212308548
brock400_2 2 2 4 5 8 141.692342282
brock400_2 2 2 4 5 8 142.534409286
brock400_2 2 2 4 5 8 142.70111035
brock400_2 2 2 4 5 8 143.798920709
brock400_2 2 2 4 5 8 144.839801166
brock400_2 2 2 4 5 8 49.916458841
brock400_2 2 2 4 5 8 63.986209941
brock400_2 2 2 4 5 8 65.3732134
brock400_2 4 8 4 5 32 35.016503099
brock400_2 4 8 4 5 32 35.998966371
brock400_2 4 8 4 5 32 37.22318605
brock400_2 4 8 4 5 32 37.363000307
brock400_2 4 8 4 5 32 39.180195834
brock400_2 4 8 4 5 32 39.310296514
brock400_2 4 8 4 5 32 39.565924777
brock400_2 4 8 4 5 32 39.633004261
brock400_2 4 8 4 5 32 41.083743783
brock400_2 4 8 4 5 32 41.415780144
brock400_2 8 16 4 5 64 10.708078989
brock400_2 8 16 4 5 64 11.047585781
brock400_2 8 16 4 5 64 15.174933937
brock400_2 8 16 4 5 64 18.426684856
brock400_2 8 16 4 5 64 19.450642927
brock400_2 8 16 4 5 64 20.256307218
brock400_2 8 16 4 5 64 21.649219762
brock400_2 8 16 4 5 64 21.913368585
brock400_2 8 16 4 5 64 22.166227449
brock400_2 8 16 4 5 64 23.074212818
brock400_2 16 32 4 5 128 11.361972195
brock400_2 16 32 4 5 128 11.682263049
brock400_2 16 32 4 5 128 11.709544834
brock400_2 16 32 4 5 128 11.751289408
brock400_2 16 32 4 5 128 11.775720947
brock400_2 16 32 4 5 128 11.871530591
brock400_2 16 32 4 5 128 12.215411552
brock400_2 16 32 4 5 128 12.295377986
brock400_2 16 32 4 5 128 12.975831264
brock400_2 16 32 4 5 128 6.309124367
brock400_2 17 50 4 5 200 10.07685373
brock400_2 17 50 4 5 200 10.888764673
brock400_2 17 50 4 5 200 10.96403172
brock400_2 17 50 4 5 200 11.129960431
brock400_2 17 50 4 5 200 5.379234997
brock400_2 17 50 4 5 200 5.609808788
